c/s,deg,ord,IGRF,IGRF.1,IGRF.2,IGRF.3,IGRF.4,IGRF.5,IGRF.6,IGRF.7,IGRF.8,DGRF,DGRF.1,DGRF.2,DGRF.3,DGRF.4,DGRF.5,DGRF.6,DGRF.7,DGRF.8,DGRF.9,DGRF.10,DGRF.11,DGRF.12,DGRF.13,DGRF.14,IGRF.9,SV
g,7,0,70.0,70.0,71.0,72.0,73.0,73.0,74.0,74.0,74.0,70.0,65.0,65.0,67.0,75.0,72.0,71.0,72.0,74.0,77.0,77.0,79.0,79.88,80.44,81.29,80.6,-0.1
g,7,1,-55.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-53.0,-53.0,-40.0,-55.0,-56.0,-56.0,-57.0,-57.0,-56.0,-59.0,-62.0,-64.0,-72.0,-74.0,-74.46,-75.0,-75.99,-76.7,-0.2
h,7,1,-45.0,-46.0,-47.0,-48.0,-49.0,-50.0,-51.0,-52.0,-52.0,-45.0,-35.0,-50.0,-55.0,-61.0,-70.0,-77.0,-82.0,-83.0,-80.0,-69.0,-64.6,-61.14,-57.8,-54.27,-51.5,0.6
g,7,2,0.0,0.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,0.0,2.0,2.0,5.0,4.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,-1.65,-4.55,-6.79,-8.2,0.0
h,7,2,-13.0,-14.0,-14.0,-14.0,-14.0,-14.0,-15.0,-17.0,-18.0,-18.0,-17.0,-24.0,-28.0,-27.0,-27.0,-26.0,-27.0,-27.0,-26.0,-25.0,-24.2,-22.57,-21.2,-19.53,-16.9,0.6
g,7,3,34.0,33.0,32.0,31.0,29.0,27.0,25.0,23.0,20.0,0.0,1.0,10.0,15.0,13.0,14.0,16.0,21.0,24.0,26.0,28.0,33.3,38.73,45.24,51.82,56.5,0.7
h,7,3,-10.0,-11.0,-12.0,-12.0,-13.0,-14.0,-14.0,-14.0,-14.0,2.0,0.0,-4.0,-6.0,-2.0,-4.0,-5.0,-5.0,-2.0,0.0,4.0,6.2,6.82,6.54,5.59,2.2,-0.8
g,7,4,-41.0,-41.0,-40.0,-38.0,-37.0,-35.0,-34.0,-33.0,-31.0,-29.0,-40.0,-32.0,-32.0,-26.0,-22.0,-14.0,-12.0,-6.0,-1.0,5.0,9.1,12.3,14.0,15.07,15.8,0.1
h,7,4,-1.0,0.0,1.0,2.0,4.0,5.0,6.0,7.0,7.0,6.0,10.0,8.0,7.0,6.0,8.0,10.0,16.0,20.0,21.0,24.0,24.0,25.35,24.96,24.45,23.5,-0.2
g,7,5,-21.0,-20.0,-19.0,-18.0,-16.0,-14.0,-12.0,-11.0,-9.0,-10.0,-7.0,-11.0,-7.0,-6.0,-2.0,0.0,1.0,4.0,5.0,4.0,6.9,9.37,10.46,9.32,6.4,-0.5
h,7,5,28.0,28.0,28.0,28.0,28.0,29.0,29.0,29.0,29.0,28.0,36.0,28.0,23.0,26.0,23.0,22.0,18.0,17.0,17.0,17.0,14.8,10.93,7.03,3.27,-2.2,-1.1
g,7,6,18.0,18.0,18.0,19.0,19.0,19.0,18.0,18.0,17.0,15.0,5.0,9.0,17.0,13.0,13.0,12.0,11.0,10.0,9.0,8.0,7.3,5.42,1.64,-2.88,-7.2,-0.8
h,7,6,-12.0,-12.0,-13.0,-15.0,-16.0,-17.0,-18.0,-19.0,-20.0,-17.0,-18.0,-20.0,-18.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-24.0,-25.4,-26.32,-27.61,-27.5,-27.2,0.1
g,7,7,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,29.0,19.0,18.0,8.0,1.0,-2.0,-5.0,-2.0,0.0,0.0,-2.0,-1.2,1.94,4.92,6.61,9.8,0.8
h,7,7,-22.0,-22.0,-22.0,-22.0,-22.0,-21.0,-20.0,-19.0,-19.0,-22.0,-16.0,-18.0,-17.0,-12.0,-11.0,-12.0,-10.0,-7.0,-4.0,-6.0,-5.8,-4.64,-3.28,-2.32,-1.8,0.3
g,8,0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,22.0,11.0,15.0,13.0,14.0,14.0,18.0,21.0,23.0,25.0,24.4,24.8,24.41,23.98,23.7,0.0
g,8,1,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,15.0,9.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.6,7.62,8.21,8.89,9.7,0.1
h,8,1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,12.0,5.0,10.0,11.0,7.0,7.0,6.0,7.0,8.0,10.0,11.0,11.9,11.2,10.84,10.04,8.4,-0.2
g,8,2,-4.0,-4.0,-4.0,-4.0,-3.0,-3.0,-3.0,-3.0,-3.0,-8.0,-4.0,-6.0,-4.0,-4.0,-2.0,-1.0,0.0,0.0,-1.0,-6.0,-9.2,-11.73,-14.5,-16.78,-17.6,-0.1
h,8,2,-14.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-14.0,-21.0,-22.0,-15.0,-14.0,-12.0,-15.0,-16.0,-18.0,-19.0,-19.0,-21.0,-21.5,-20.88,-20.03,-18.26,-15.3,0.6
g,8,3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-10.0,-5.0,-1.0,-14.0,-11.0,-14.0,-13.0,-12.0,-11.0,-11.0,-10.0,-9.0,-7.9,-6.88,-5.59,-3.16,-0.5,0.4
h,8,3,7.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,-12.0,0.0,5.0,7.0,9.0,6.0,4.0,4.0,5.0,6.0,8.0,8.5,9.83,11.83,13.18,12.8,-0.2
g,8,4,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,9.0,11.0,6.0,2.0,0.0,-3.0,-8.0,-7.0,-9.0,-12.0,-14.0,-16.6,-18.11,-19.34,-20.56,-21.1,-0.1
h,8,4,-13.0,-13.0,-13.0,-13.0,-14.0,-14.0,-14.0,-15.0,-15.0,-7.0,-21.0,-23.0,-18.0,-16.0,-17.0,-19.0,-22.0,-23.0,-22.0,-23.0,-21.5,-19.71,-17.41,-14.6,-11.7,0.5
g,8,5,2.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,6.0,7.0,15.0,10.0,10.0,8.0,5.0,4.0,4.0,4.0,3.0,9.0,9.1,10.17,11.61,13.33,15.3,0.4
h,8,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,-8.0,3.0,4.0,4.0,6.0,6.0,9.0,11.0,12.0,15.0,15.5,16.22,16.71,16.16,14.9,-0.3
g,8,6,-9.0,-8.0,-8.0,-8.0,-7.0,-7.0,-6.0,-6.0,-5.0,-10.0,-13.0,-7.0,-5.0,-1.0,0.0,0.0,3.0,4.0,4.0,6.0,7.0,9.36,10.85,11.76,13.7,0.3
h,8,6,16.0,16.0,16.0,16.0,17.0,17.0,18.0,18.0,19.0,18.0,17.0,23.0,23.0,24.0,21.0,18.0,16.0,14.0,12.0,11.0,8.9,7.61,6.96,5.69,3.6,-0.4
g,8,7,5.0,5.0,5.0,6.0,6.0,7.0,8.0,8.0,9.0,7.0,5.0,6.0,10.0,11.0,11.0,10.0,6.0,4.0,2.0,-5.0,-7.9,-11.25,-14.05,-15.98,-16.5,-0.1
h,8,7,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,3.0,-4.0,-4.0,1.0,-3.0,-6.0,-10.0,-13.0,-15.0,-16.0,-16.0,-14.9,-12.76,-10.74,-9.1,-6.9,0.5
g,8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,2.0,-1.0,9.0,8.0,4.0,3.0,1.0,-1.0,-4.0,-6.0,-7.0,-7.0,-4.87,-3.54,-2.02,-0.3,0.4
h,8,8,-18.0,-18.0,-18.0,-18.0,-19.0,-19.0,-19.0,-19.0,-19.0,-11.0,-17.0,-13.0,-20.0,-17.0,-16.0,-17.0,-15.0,-11.0,-10.0,-4.0,-2.1,-0.06,1.64,2.26,2.8,0.0
g,9,0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,3.0,4.0,4.0,8.0,8.0,7.0,5.0,5.0,4.0,4.0,5.0,5.58,5.5,5.33,5.0,0.0
g,9,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-21.0,-7.0,9.0,6.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.4,9.76,9.45,8.83,8.4,0.0
h,9,1,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-21.0,-27.0,-24.0,-11.0,-18.0,-22.0,-21.0,-21.0,-21.0,-21.0,-20.0,-20.0,-19.7,-20.11,-20.54,-21.77,-23.4,0.0
g,9,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-4.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.58,3.45,3.02,2.9,0.0
h,9,2,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,17.0,19.0,12.0,12.0,15.0,16.0,16.0,16.0,15.0,15.0,15.0,13.4,12.69,11.51,10.76,11.0,0.0
g,9,3,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-12.0,-12.0,-12.0,-11.0,-25.0,-5.0,-9.0,-13.0,-12.0,-12.0,-12.0,-12.0,-12.0,-10.0,-8.4,-6.94,-5.27,-3.22,-1.5,0.0
h,9,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,29.0,12.0,7.0,2.0,7.0,6.0,7.0,9.0,9.0,11.0,12.0,12.5,12.67,12.75,11.74,9.8,0.0
g,9,4,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,3.0,10.0,2.0,1.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,6.3,5.01,3.13,0.67,-1.1,0.0
h,9,4,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-9.0,2.0,6.0,0.0,-4.0,-4.0,-4.0,-5.0,-6.0,-7.0,-6.0,-6.2,-6.72,-7.14,-6.74,-5.1,0.0
g,9,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,5.0,4.0,4.0,-1.0,-1.0,-1.0,-3.0,-3.0,-4.0,-8.0,-8.9,-10.76,-12.38,-13.2,-13.2,0.0
h,9,5,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-3.0,-3.0,4.0,2.0,-2.0,-3.0,-5.0,-5.0,-5.0,-6.0,-6.0,-7.0,-8.0,-8.4,-8.16,-7.42,-6.88,-6.3,0.0
g,9,6,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-3.0,-5.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-2.0,-1.0,-1.5,-1.25,-0.76,-0.1,1.1,0.0
h,9,6,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,8.4,8.1,7.97,7.79,7.8,0.0
g,9,7,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,-4.0,-2.0,2.0,-2.0,5.0,3.0,4.0,7.0,7.0,7.0,10.0,9.3,8.76,8.43,8.68,8.8,0.0
h,9,7,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,6.0,8.0,7.0,8.0,10.0,11.0,11.0,10.0,9.0,8.0,5.0,3.8,2.92,2.14,1.04,0.4,0.0
g,9,8,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,-2.0,-4.3,-6.66,-8.42,-9.06,-9.3,0.0
h,9,8,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,-11.0,-6.0,0.0,-4.0,-2.0,-3.0,-6.0,-7.0,-7.0,-8.0,-8.2,-7.73,-6.08,-3.89,-1.4,0.0
g,9,9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-4.0,8.0,5.0,-1.0,-2.0,-1.0,-2.0,-5.0,-5.0,-6.0,-8.0,-8.2,-9.22,-10.08,-10.54,-11.9,0.0
h,9,9,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,-7.0,5.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,4.8,6.01,7.01,8.44,9.6,0.0
g,10,0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-8.0,-3.0,1.0,-2.0,-3.0,-3.0,-4.0,-4.0,-3.0,-3.0,-2.6,-2.17,-1.94,-2.01,-1.9,0.0
g,10,1,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,11.0,4.0,-5.0,-3.0,-3.0,-3.0,-3.0,-4.0,-4.0,-4.0,-6.0,-6.0,-6.12,-6.24,-6.26,-6.2,0.0
h,10,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,13.0,-4.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.7,2.19,2.73,3.28,3.4,0.0
g,10,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,-1.0,-1.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.7,1.42,0.89,0.17,-0.1,0.0
h,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1,-0.1,-0.4,-0.2,0.0
g,10,3,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,2.0,13.0,2.0,0.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-4.0,-3.1,-2.35,-1.07,0.55,1.7,0.0
h,10,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-20.0,-10.0,-8.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.46,4.71,4.55,3.6,0.0
g,10,4,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-5.0,-4.0,-3.0,-1.0,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,-1.0,-0.5,-0.15,-0.16,-0.55,-0.9,0.0
h,10,4,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,-1.0,2.0,-2.0,2.0,6.0,4.0,4.0,6.0,6.0,6.0,5.0,4.9,4.76,4.44,4.4,4.8,0.0
